LSOA_code,outcome_type,crime_type,date_month,2019,2020,2021,2022
994,1,9,3,1,0,0,0
642,0,8,3,1,0,0,0
719,0,8,3,1,0,0,0
516,0,8,3,1,0,0,0
484,0,8,3,1,0,0,0
636,1,1,3,1,0,0,0
483,0,8,3,1,0,0,0
615,0,8,3,1,0,0,0
821,0,9,3,1,0,0,0
494,1,8,3,1,0,0,0
483,0,9,3,1,0,0,0
714,0,8,3,1,0,0,0
853,0,8,3,1,0,0,0
992,0,8,3,1,0,0,0
934,0,8,3,1,0,0,0
934,0,8,3,1,0,0,0
988,0,9,3,1,0,0,0
1165,0,8,3,1,0,0,0
919,1,8,3,1,0,0,0
448,0,8,3,1,0,0,0
707,0,8,3,1,0,0,0
676,1,9,3,1,0,0,0
483,0,8,3,1,0,0,0
917,0,8,3,1,0,0,0
764,0,8,3,1,0,0,0
723,0,8,3,1,0,0,0
869,0,8,3,1,0,0,0
648,0,1,3,1,0,0,0
671,0,8,3,1,0,0,0
486,1,2,3,1,0,0,0
739,0,8,3,1,0,0,0
994,1,2,3,1,0,0,0
893,0,8,3,1,0,0,0
860,0,8,3,1,0,0,0
754,0,8,3,1,0,0,0
806,0,8,3,1,0,0,0
563,0,8,3,1,0,0,0
778,0,8,3,1,0,0,0
955,1,8,3,1,0,0,0
955,1,8,3,1,0,0,0
981,0,8,3,1,0,0,0
514,0,8,3,1,0,0,0
1091,0,8,3,1,0,0,0
579,0,8,3,1,0,0,0
735,0,1,3,1,0,0,0
579,0,8,3,1,0,0,0
1003,0,8,3,1,0,0,0
535,1,9,3,1,0,0,0
1047,0,9,3,1,0,0,0
15,1,8,3,1,0,0,0
952,1,9,3,1,0,0,0
119,1,5,3,1,0,0,0
765,0,5,3,1,0,0,0
719,0,1,3,1,0,0,0
574,0,5,3,1,0,0,0
994,0,5,3,1,0,0,0
994,0,5,3,1,0,0,0
991,0,8,3,1,0,0,0
1064,0,5,3,1,0,0,0
1161,1,5,3,1,0,0,0
934,0,8,3,1,0,0,0
1010,0,8,3,1,0,0,0
891,1,9,3,1,0,0,0
787,0,8,3,1,0,0,0
673,0,8,3,1,0,0,0
546,0,9,3,1,0,0,0
860,1,1,3,1,0,0,0
1065,1,2,3,1,0,0,0
913,0,8,3,1,0,0,0
971,0,3,3,1,0,0,0
463,0,8,3,1,0,0,0
894,0,8,3,1,0,0,0
993,0,9,3,1,0,0,0
1078,0,8,3,1,0,0,0
704,0,5,3,1,0,0,0
1024,0,8,3,1,0,0,0
583,0,8,3,1,0,0,0
468,0,5,3,1,0,0,0
583,0,8,3,1,0,0,0
583,0,8,3,1,0,0,0
879,0,8,3,1,0,0,0
993,0,9,3,1,0,0,0
958,1,2,3,1,0,0,0
879,0,8,3,1,0,0,0
769,0,8,3,1,0,0,0
879,0,8,3,1,0,0,0
541,0,8,3,1,0,0,0
879,0,8,3,1,0,0,0
879,0,8,3,1,0,0,0
454,0,8,3,1,0,0,0
643,0,5,3,1,0,0,0
879,0,8,3,1,0,0,0
486,0,8,3,1,0,0,0
939,0,8,3,1,0,0,0
665,1,9,3,1,0,0,0
643,0,5,3,1,0,0,0
994,0,9,3,1,0,0,0
985,0,5,3,1,0,0,0
287,0,8,3,1,0,0,0
861,0,8,3,1,0,0,0
1078,0,1,3,1,0,0,0
712,0,8,3,1,0,0,0
778,0,1,3,1,0,0,0
998,0,8,3,1,0,0,0
1074,0,8,3,1,0,0,0
882,0,5,3,1,0,0,0
462,0,8,3,1,0,0,0
660,0,5,3,1,0,0,0
909,0,1,3,1,0,0,0
762,0,5,3,1,0,0,0
524,0,8,3,1,0,0,0
720,1,2,3,1,0,0,0
770,0,8,3,1,0,0,0
1019,0,9,3,1,0,0,0
817,0,8,3,1,0,0,0
891,1,1,3,1,0,0,0
442,0,8,3,1,0,0,0
1165,0,9,3,1,0,0,0
968,0,3,3,1,0,0,0
957,0,3,3,1,0,0,0
535,0,9,3,1,0,0,0
1025,1,5,3,1,0,0,0
682,1,8,3,1,0,0,0
606,0,3,3,1,0,0,0
718,0,5,3,1,0,0,0
718,0,9,3,1,0,0,0
883,0,9,3,1,0,0,0
810,1,0,3,1,0,0,0
1163,1,2,3,1,0,0,0
993,1,9,3,1,0,0,0
854,0,8,3,1,0,0,0
965,1,8,3,1,0,0,0
854,0,8,3,1,0,0,0
965,1,5,3,1,0,0,0
1078,0,9,3,1,0,0,0
476,0,1,3,1,0,0,0
476,0,8,3,1,0,0,0
608,1,8,3,1,0,0,0
1048,0,5,3,1,0,0,0
750,0,8,3,1,0,0,0
448,0,8,3,1,0,0,0
962,0,8,3,1,0,0,0
999,0,9,3,1,0,0,0
887,0,8,3,1,0,0,0
999,1,9,3,1,0,0,0
839,0,8,3,1,0,0,0
914,0,8,3,1,0,0,0
474,0,8,3,1,0,0,0
838,0,8,3,1,0,0,0
610,0,8,3,1,0,0,0
975,0,8,3,1,0,0,0
476,1,5,3,1,0,0,0
891,1,8,3,1,0,0,0
835,1,9,3,1,0,0,0
476,1,8,3,1,0,0,0
1054,0,9,3,1,0,0,0
975,0,8,3,1,0,0,0
498,0,8,3,1,0,0,0
777,0,2,3,1,0,0,0
889,0,5,3,1,0,0,0
471,1,9,3,1,0,0,0
889,0,8,3,1,0,0,0
998,0,5,3,1,0,0,0
583,0,8,3,1,0,0,0
453,0,8,3,1,0,0,0
772,1,8,3,1,0,0,0
868,0,5,3,1,0,0,0
458,0,8,3,1,0,0,0
593,0,8,3,1,0,0,0
1057,0,8,3,1,0,0,0
1036,1,8,3,1,0,0,0
891,0,8,3,1,0,0,0
432,0,8,3,1,0,0,0
1035,1,8,3,1,0,0,0
458,0,8,3,1,0,0,0
475,0,4,3,1,0,0,0
612,1,8,3,1,0,0,0
1072,0,1,3,1,0,0,0
1152,1,2,3,1,0,0,0
467,0,9,3,1,0,0,0
771,0,5,3,1,0,0,0
1161,1,4,3,1,0,0,0
968,1,7,3,1,0,0,0
891,1,2,3,1,0,0,0
1053,0,5,3,1,0,0,0
535,0,5,3,1,0,0,0
705,0,3,3,1,0,0,0
616,0,8,3,1,0,0,0
905,0,8,3,1,0,0,0
646,1,8,3,1,0,0,0
476,1,2,3,1,0,0,0
1057,0,5,3,1,0,0,0
1057,0,5,3,1,0,0,0
1075,0,8,3,1,0,0,0
1030,0,1,3,1,0,0,0
794,0,8,3,1,0,0,0
492,0,8,3,1,0,0,0
837,1,9,3,1,0,0,0
628,1,8,3,1,0,0,0
794,0,8,3,1,0,0,0
525,0,8,3,1,0,0,0
860,1,9,3,1,0,0,0
475,1,2,3,1,0,0,0
475,0,3,3,1,0,0,0
727,0,8,3,1,0,0,0
643,0,9,3,1,0,0,0
475,1,9,3,1,0,0,0
995,0,9,3,1,0,0,0
894,0,8,3,1,0,0,0
995,0,5,3,1,0,0,0
995,0,5,3,1,0,0,0
898,0,8,3,1,0,0,0
995,0,5,3,1,0,0,0
995,0,5,3,1,0,0,0
489,0,5,3,1,0,0,0
595,1,8,3,1,0,0,0
748,0,8,3,1,0,0,0
469,0,5,3,1,0,0,0
859,0,8,3,1,0,0,0
431,0,8,3,1,0,0,0
1051,0,9,3,1,0,0,0
908,1,7,3,1,0,0,0
891,1,0,3,1,0,0,0
939,1,8,3,1,0,0,0
476,0,8,3,1,0,0,0
919,1,9,3,1,0,0,0
1161,0,8,3,1,0,0,0
537,0,8,3,1,0,0,0
938,0,8,3,1,0,0,0
938,0,8,3,1,0,0,0
472,0,8,3,1,0,0,0
1099,0,8,3,1,0,0,0
745,0,8,3,1,0,0,0
1066,0,3,3,1,0,0,0
535,1,2,3,1,0,0,0
535,1,5,3,1,0,0,0
1066,0,5,3,1,0,0,0
1066,0,5,3,1,0,0,0
535,1,1,3,1,0,0,0
707,0,8,3,1,0,0,0
754,1,8,3,1,0,0,0
625,1,4,3,1,0,0,0
839,0,1,3,1,0,0,0
876,1,2,3,1,0,0,0
769,0,8,3,1,0,0,0
995,0,8,3,1,0,0,0
804,0,8,3,1,0,0,0
524,1,9,3,1,0,0,0
643,0,8,3,1,0,0,0
751,1,8,3,1,0,0,0
625,0,1,3,1,0,0,0
625,0,8,3,1,0,0,0
991,1,8,3,1,0,0,0
541,0,8,3,1,0,0,0
991,1,8,3,1,0,0,0
541,0,8,3,1,0,0,0
991,1,8,3,1,0,0,0
999,1,9,3,1,0,0,0
991,1,3,3,1,0,0,0
484,1,5,3,1,0,0,0
991,1,1,3,1,0,0,0
891,1,8,3,1,0,0,0
769,0,8,3,1,0,0,0
794,0,9,3,1,0,0,0
532,1,8,3,1,0,0,0
891,1,9,3,1,0,0,0
1032,0,8,3,1,0,0,0
665,0,5,3,1,0,0,0
461,1,5,3,1,0,0,0
587,1,9,3,1,0,0,0
711,0,5,3,1,0,0,0
728,0,8,3,1,0,0,0
993,1,9,3,1,0,0,0
845,0,8,3,1,0,0,0
532,1,8,3,1,0,0,0
988,1,9,3,1,0,0,0
673,0,8,3,1,0,0,0
481,0,1,3,1,0,0,0
821,0,3,3,1,0,0,0
671,1,8,3,1,0,0,0
908,0,5,3,1,0,0,0
1073,0,8,3,1,0,0,0
739,0,8,3,1,0,0,0
804,0,8,3,1,0,0,0
779,1,8,3,1,0,0,0
710,0,9,3,1,0,0,0
461,0,8,3,1,0,0,0
889,0,8,3,1,0,0,0
919,1,9,3,1,0,0,0
1147,1,8,3,1,0,0,0
747,0,5,3,1,0,0,0
531,0,1,3,1,0,0,0
484,0,8,3,1,0,0,0
784,0,8,3,1,0,0,0
519,0,8,3,1,0,0,0
931,0,8,3,1,0,0,0
461,1,8,3,1,0,0,0
977,1,8,3,1,0,0,0
997,0,8,3,1,0,0,0
519,0,8,3,1,0,0,0
817,0,8,3,1,0,0,0
469,0,8,3,1,0,0,0
655,1,8,3,1,0,0,0
655,1,8,3,1,0,0,0
1013,0,8,3,1,0,0,0
822,0,8,3,1,0,0,0
609,0,8,3,1,0,0,0
656,0,8,3,1,0,0,0
656,0,8,3,1,0,0,0
609,0,8,3,1,0,0,0
689,0,9,3,1,0,0,0
456,0,8,3,1,0,0,0
475,0,6,3,1,0,0,0
578,1,9,3,1,0,0,0
904,0,8,3,1,0,0,0
1066,1,8,3,1,0,0,0
1161,1,8,3,1,0,0,0
535,1,4,3,1,0,0,0
1161,1,8,3,1,0,0,0
1161,1,8,3,1,0,0,0
667,0,8,3,1,0,0,0
688,0,8,3,1,0,0,0
830,0,9,3,1,0,0,0
688,0,8,3,1,0,0,0
564,1,8,3,1,0,0,0
688,0,8,3,1,0,0,0
750,0,8,3,1,0,0,0
750,0,8,3,1,0,0,0
888,0,1,3,1,0,0,0
728,0,8,3,1,0,0,0
536,0,8,3,1,0,0,0
535,1,2,3,1,0,0,0
894,0,3,3,1,0,0,0
439,1,2,3,1,0,0,0
857,0,0,3,1,0,0,0
1096,0,5,3,1,0,0,0
672,0,5,3,1,0,0,0
994,1,2,3,1,0,0,0
893,0,8,3,1,0,0,0
964,0,5,3,1,0,0,0
810,0,8,3,1,0,0,0
1085,0,5,3,1,0,0,0
998,0,8,3,1,0,0,0
758,0,7,3,1,0,0,0
1165,1,2,3,1,0,0,0
1054,0,8,3,1,0,0,0
460,1,9,3,1,0,0,0
804,0,8,3,1,0,0,0
860,1,9,3,1,0,0,0
555,1,9,3,1,0,0,0
688,0,3,3,1,0,0,0
1054,0,8,3,1,0,0,0
458,1,9,3,1,0,0,0
440,0,8,3,1,0,0,0
870,1,8,3,1,0,0,0
468,0,9,3,1,0,0,0
515,0,8,3,1,0,0,0
860,1,9,3,1,0,0,0
709,1,8,3,1,0,0,0
919,0,8,3,1,0,0,0
818,1,3,3,1,0,0,0
981,0,8,3,1,0,0,0
976,0,9,3,1,0,0,0
676,0,1,3,1,0,0,0
662,0,8,3,1,0,0,0
